date,name,sig
30/01/19,BTS,0
31/01/19,BTS,0
01/02/19,BTS,0
04/02/19,BTS,0
05/02/19,BTS,0
06/02/19,BTS,0
07/02/19,BTS,0
08/02/19,BTS,0
11/02/19,BTS,0
12/02/19,BTS,0
13/02/19,BTS,0
14/02/19,BTS,0
15/02/19,BTS,0
18/02/19,BTS,0
20/02/19,BTS,0
21/02/19,BTS,0
22/02/19,BTS,0
25/02/19,BTS,0
26/02/19,BTS,0
27/02/19,BTS,0
28/02/19,BTS,0
01/03/19,BTS,0
04/03/19,BTS,0
05/03/19,BTS,0
06/03/19,BTS,0
07/03/19,BTS,0
08/03/19,BTS,0
11/03/19,BTS,0
12/03/19,BTS,0
13/03/19,BTS,0
14/03/19,BTS,0
15/03/19,BTS,0
18/03/19,BTS,0
19/03/19,BTS,0
20/03/19,BTS,0
21/03/19,BTS,0
22/03/19,BTS,0
25/03/19,BTS,0
26/03/19,BTS,0
27/03/19,BTS,0
28/03/19,BTS,0
29/03/19,BTS,0
01/04/19,BTS,0
02/04/19,BTS,0
03/04/19,BTS,0
04/04/19,BTS,0
05/04/19,BTS,0
09/04/19,BTS,0
10/04/19,BTS,0
11/04/19,BTS,0
12/04/19,BTS,0
17/04/19,BTS,0
18/04/19,BTS,0
19/04/19,BTS,0
22/04/19,BTS,0
23/04/19,BTS,0
24/04/19,BTS,0
25/04/19,BTS,0
26/04/19,BTS,0
29/04/19,BTS,0
30/04/19,BTS,0
02/05/19,BTS,0
03/05/19,BTS,0
07/05/19,BTS,0
08/05/19,BTS,0
09/05/19,BTS,0
10/05/19,BTS,0
13/05/19,BTS,0
14/05/19,BTS,0
15/05/19,BTS,0
16/05/19,BTS,0
17/05/19,BTS,0
21/05/19,BTS,0
22/05/19,BTS,0
23/05/19,BTS,0
24/05/19,BTS,0
27/05/19,BTS,0
28/05/19,BTS,0
29/05/19,BTS,0
30/05/19,BTS,0
31/05/19,BTS,0
04/06/19,BTS,0
05/06/19,BTS,0
06/06/19,BTS,0
07/06/19,BTS,0
10/06/19,BTS,0
11/06/19,BTS,0
12/06/19,BTS,0
13/06/19,BTS,0
14/06/19,BTS,0
17/06/19,BTS,0
18/06/19,BTS,0
19/06/19,BTS,0
20/06/19,BTS,0
21/06/19,BTS,0
24/06/19,BTS,0
25/06/19,BTS,0
26/06/19,BTS,0
27/06/19,BTS,0
28/06/19,BTS,0
01/07/19,BTS,0
02/07/19,BTS,0
03/07/19,BTS,0
04/07/19,BTS,0
05/07/19,BTS,0
08/07/19,BTS,0
09/07/19,BTS,0
10/07/19,BTS,0
11/07/19,BTS,0
12/07/19,BTS,0
15/07/19,BTS,0
17/07/19,BTS,0
18/07/19,BTS,0
19/07/19,BTS,0
22/07/19,BTS,0
23/07/19,BTS,0
24/07/19,BTS,0
25/07/19,BTS,0
26/07/19,BTS,0
30/07/19,BTS,0
31/07/19,BTS,0
01/08/19,BTS,0
02/08/19,BTS,0
05/08/19,BTS,0
06/08/19,BTS,0
07/08/19,BTS,0
08/08/19,BTS,0
09/08/19,BTS,0
13/08/19,BTS,0
14/08/19,BTS,0
15/08/19,BTS,0
16/08/19,BTS,0
19/08/19,BTS,0
20/08/19,BTS,0
21/08/19,BTS,0
22/08/19,BTS,0
23/08/19,BTS,0
26/08/19,BTS,0
27/08/19,BTS,0
28/08/19,BTS,0
29/08/19,BTS,0
30/08/19,BTS,0
02/09/19,BTS,0
03/09/19,BTS,0
04/09/19,BTS,0
05/09/19,BTS,0
06/09/19,BTS,0
09/09/19,BTS,0
10/09/19,BTS,0
11/09/19,BTS,0
12/09/19,BTS,0
13/09/19,BTS,0
16/09/19,BTS,0
17/09/19,BTS,0
18/09/19,BTS,0
19/09/19,BTS,0
20/09/19,BTS,0
23/09/19,BTS,0
24/09/19,BTS,0
25/09/19,BTS,0
26/09/19,BTS,0
27/09/19,BTS,0
30/09/19,BTS,0
01/10/19,BTS,0
02/10/19,BTS,0
03/10/19,BTS,0
04/10/19,BTS,0
07/10/19,BTS,0
08/10/19,BTS,0
09/10/19,BTS,0
10/10/19,BTS,0
11/10/19,BTS,0
15/10/19,BTS,0
16/10/19,BTS,0
17/10/19,BTS,0
18/10/19,BTS,0
21/10/19,BTS,0
22/10/19,BTS,0
24/10/19,BTS,0
25/10/19,BTS,0
28/10/19,BTS,0
29/10/19,BTS,0
30/10/19,BTS,0
31/10/19,BTS,0
01/11/19,BTS,0
04/11/19,BTS,0
05/11/19,BTS,0
06/11/19,BTS,0
07/11/19,BTS,0
08/11/19,BTS,0
11/11/19,BTS,0
12/11/19,BTS,0
13/11/19,BTS,0
14/11/19,BTS,0
15/11/19,BTS,0
18/11/19,BTS,0
19/11/19,BTS,0
20/11/19,BTS,0
21/11/19,BTS,0
22/11/19,BTS,0
25/11/19,BTS,0
26/11/19,BTS,0
27/11/19,BTS,0
28/11/19,BTS,0
29/11/19,BTS,0
02/12/19,BTS,0
03/12/19,BTS,0
04/12/19,BTS,0
06/12/19,BTS,0
09/12/19,BTS,0
11/12/19,BTS,0
12/12/19,BTS,0
13/12/19,BTS,0
16/12/19,BTS,0
17/12/19,BTS,0
18/12/19,BTS,0
19/12/19,BTS,0
20/12/19,BTS,0
23/12/19,BTS,0
24/12/19,BTS,0
25/12/19,BTS,0
26/12/19,BTS,0
27/12/19,BTS,0
30/12/19,BTS,0
02/01/20,BTS,0
03/01/20,BTS,0
06/01/20,BTS,0
07/01/20,BTS,0
08/01/20,BTS,0
09/01/20,BTS,0
10/01/20,BTS,0
13/01/20,BTS,0
14/01/20,BTS,0
15/01/20,BTS,0
16/01/20,BTS,0
17/01/20,BTS,0
20/01/20,BTS,0
21/01/20,BTS,0
22/01/20,BTS,0
23/01/20,BTS,0
24/01/20,BTS,0
