date,name,sig
20/02/20,CRC,0
21/02/20,CRC,0
24/02/20,CRC,0
25/02/20,CRC,0
26/02/20,CRC,0
27/02/20,CRC,0
28/02/20,CRC,0
02/03/20,CRC,0
03/03/20,CRC,0
04/03/20,CRC,0
05/03/20,CRC,0
06/03/20,CRC,0
09/03/20,CRC,0
10/03/20,CRC,0
11/03/20,CRC,0
12/03/20,CRC,0
13/03/20,CRC,0
16/03/20,CRC,0
17/03/20,CRC,0
18/03/20,CRC,0
19/03/20,CRC,BUY
20/03/20,CRC,0
23/03/20,CRC,0
24/03/20,CRC,0
25/03/20,CRC,0
26/03/20,CRC,0
27/03/20,CRC,0
30/03/20,CRC,0
31/03/20,CRC,0
01/04/20,CRC,0
